time,word,subject,count
2020-10-08T00:55:00Z,fuck,pence,8
2020-10-08T00:55:00Z,fuck,kamala,9
2020-10-08T00:55:00Z,shit,pence,14
2020-10-08T00:55:00Z,shit,kamala,7
2020-10-08T00:55:00Z,bitch,pence,4
2020-10-08T00:55:00Z,bitch,kamala,5
2020-10-08T00:55:00Z,ass,pence,13
2020-10-08T00:55:00Z,ass,kamala,14
2020-10-08T00:55:00Z,dick,pence,6
2020-10-08T00:55:00Z,dick,kamala,1
2020-10-08T00:56:00Z,fuck,pence,3
2020-10-08T00:56:00Z,fuck,kamala,2
2020-10-08T00:56:00Z,shit,pence,10
2020-10-08T00:56:00Z,shit,kamala,10
2020-10-08T00:56:00Z,bitch,pence,1
2020-10-08T00:56:00Z,bitch,kamala,3
2020-10-08T00:56:00Z,ass,pence,11
2020-10-08T00:56:00Z,ass,kamala,9
2020-10-08T00:56:00Z,dick,pence,3
2020-10-08T00:56:00Z,dick,kamala,0
2020-10-08T00:57:00Z,fuck,pence,12
2020-10-08T00:57:00Z,fuck,kamala,8
2020-10-08T00:57:00Z,shit,pence,7
2020-10-08T00:57:00Z,shit,kamala,9
2020-10-08T00:57:00Z,bitch,pence,1
2020-10-08T00:57:00Z,bitch,kamala,2
2020-10-08T00:57:00Z,ass,pence,16
2020-10-08T00:57:00Z,ass,kamala,12
2020-10-08T00:57:00Z,dick,pence,4
2020-10-08T00:57:00Z,dick,kamala,0
2020-10-08T00:58:00Z,fuck,pence,9
2020-10-08T00:58:00Z,fuck,kamala,8
2020-10-08T00:58:00Z,shit,pence,9
2020-10-08T00:58:00Z,shit,kamala,9
2020-10-08T00:58:00Z,bitch,pence,2
2020-10-08T00:58:00Z,bitch,kamala,4
2020-10-08T00:58:00Z,ass,pence,10
2020-10-08T00:58:00Z,ass,kamala,11
2020-10-08T00:58:00Z,dick,pence,5
2020-10-08T00:58:00Z,dick,kamala,0
2020-10-08T00:59:00Z,fuck,pence,20
2020-10-08T00:59:00Z,fuck,kamala,12
2020-10-08T00:59:00Z,shit,pence,15
2020-10-08T00:59:00Z,shit,kamala,14
2020-10-08T00:59:00Z,bitch,pence,4
2020-10-08T00:59:00Z,bitch,kamala,3
2020-10-08T00:59:00Z,ass,pence,5
2020-10-08T00:59:00Z,ass,kamala,9
2020-10-08T00:59:00Z,dick,pence,5
2020-10-08T00:59:00Z,dick,kamala,2
2020-10-08T01:00:00Z,fuck,pence,16
2020-10-08T01:00:00Z,fuck,kamala,7
2020-10-08T01:00:00Z,shit,pence,14
2020-10-08T01:00:00Z,shit,kamala,11
2020-10-08T01:00:00Z,bitch,pence,4
2020-10-08T01:00:00Z,bitch,kamala,3
2020-10-08T01:00:00Z,ass,pence,15
2020-10-08T01:00:00Z,ass,kamala,20
2020-10-08T01:00:00Z,dick,pence,1
2020-10-08T01:00:00Z,dick,kamala,2
2020-10-08T01:01:00Z,fuck,pence,13
2020-10-08T01:01:00Z,fuck,kamala,9
2020-10-08T01:01:00Z,shit,pence,5
2020-10-08T01:01:00Z,shit,kamala,6
2020-10-08T01:01:00Z,bitch,pence,1
2020-10-08T01:01:00Z,bitch,kamala,1
2020-10-08T01:01:00Z,ass,pence,17
2020-10-08T01:01:00Z,ass,kamala,20
2020-10-08T01:01:00Z,dick,pence,3
2020-10-08T01:01:00Z,dick,kamala,0
2020-10-08T01:02:00Z,fuck,pence,10
2020-10-08T01:02:00Z,fuck,kamala,5
2020-10-08T01:02:00Z,shit,pence,7
2020-10-08T01:02:00Z,shit,kamala,6
2020-10-08T01:02:00Z,bitch,pence,6
2020-10-08T01:02:00Z,bitch,kamala,4
2020-10-08T01:02:00Z,ass,pence,17
2020-10-08T01:02:00Z,ass,kamala,23
2020-10-08T01:02:00Z,dick,pence,4
2020-10-08T01:02:00Z,dick,kamala,0
2020-10-08T01:03:00Z,fuck,pence,13
2020-10-08T01:03:00Z,fuck,kamala,8
2020-10-08T01:03:00Z,shit,pence,8
