subject	word	time	count
Ben Carson	ass	2015-09-16T19:45-0400	0
Ben Carson	bitch	2015-09-16T19:45-0400	0
Ben Carson	damn	2015-09-16T19:45-0400	0
Ben Carson	dick	2015-09-16T19:45-0400	0
Ben Carson	douche	2015-09-16T19:45-0400	0
Ben Carson	fuck	2015-09-16T19:45-0400	0
Ben Carson	shit	2015-09-16T19:45-0400	0
Carly Fiorina	ass	2015-09-16T19:45-0400	0
Carly Fiorina	bitch	2015-09-16T19:45-0400	0
Carly Fiorina	damn	2015-09-16T19:45-0400	0
Carly Fiorina	dick	2015-09-16T19:45-0400	0
Carly Fiorina	douche	2015-09-16T19:45-0400	0
Carly Fiorina	fuck	2015-09-16T19:45-0400	0
Carly Fiorina	shit	2015-09-16T19:45-0400	0
Chris Christie	ass	2015-09-16T19:45-0400	0
Chris Christie	bitch	2015-09-16T19:45-0400	0
Chris Christie	damn	2015-09-16T19:45-0400	0
Chris Christie	dick	2015-09-16T19:45-0400	0
Chris Christie	douche	2015-09-16T19:45-0400	0
Chris Christie	fuck	2015-09-16T19:45-0400	1
Chris Christie	shit	2015-09-16T19:45-0400	0
Donald Trump	ass	2015-09-16T19:45-0400	0
Donald Trump	bitch	2015-09-16T19:45-0400	1
Donald Trump	damn	2015-09-16T19:45-0400	1
Donald Trump	dick	2015-09-16T19:45-0400	0
Donald Trump	douche	2015-09-16T19:45-0400	0
Donald Trump	fuck	2015-09-16T19:45-0400	3
Donald Trump	shit	2015-09-16T19:45-0400	0
Jeb Bush	ass	2015-09-16T19:45-0400	0
Jeb Bush	bitch	2015-09-16T19:45-0400	0
Jeb Bush	damn	2015-09-16T19:45-0400	0
Jeb Bush	dick	2015-09-16T19:45-0400	0
Jeb Bush	douche	2015-09-16T19:45-0400	0
Jeb Bush	fuck	2015-09-16T19:45-0400	0
Jeb Bush	shit	2015-09-16T19:45-0400	0
John Kasich	ass	2015-09-16T19:45-0400	0
John Kasich	bitch	2015-09-16T19:45-0400	0
John Kasich	damn	2015-09-16T19:45-0400	0
John Kasich	dick	2015-09-16T19:45-0400	0
John Kasich	douche	2015-09-16T19:45-0400	0
John Kasich	fuck	2015-09-16T19:45-0400	0
John Kasich	shit	2015-09-16T19:45-0400	0
Marco Rubio	ass	2015-09-16T19:45-0400	0
Marco Rubio	bitch	2015-09-16T19:45-0400	0
Marco Rubio	damn	2015-09-16T19:45-0400	0
Marco Rubio	dick	2015-09-16T19:45-0400	0
Marco Rubio	douche	2015-09-16T19:45-0400	0
Marco Rubio	fuck	2015-09-16T19:45-0400	0
Marco Rubio	shit	2015-09-16T19:45-0400	0
Mike Huckabee	ass	2015-09-16T19:45-0400	0
