subject	word	time	count
Donald Trump	dick	2016-10-10T02:28:00Z	2
Donald Trump	dick	2016-10-10T02:29:00Z	0
Donald Trump	dick	2016-10-10T02:30:00Z	2
Donald Trump	dick	2016-10-10T02:31:00Z	2
Donald Trump	dick	2016-10-10T02:32:00Z	0
Donald Trump	dick	2016-10-10T02:33:00Z	0
Donald Trump	dick	2016-10-10T02:34:00Z	0
Donald Trump	dick	2016-10-10T02:35:00Z	1
Donald Trump	dick	2016-10-10T02:36:00Z	0
Donald Trump	dick	2016-10-10T02:37:00Z	0
Donald Trump	dick	2016-10-10T02:38:00Z	0
Donald Trump	dick	2016-10-10T02:39:00Z	1
Donald Trump	dick	2016-10-10T02:40:00Z	1
Donald Trump	dick	2016-10-10T02:41:00Z	0
Donald Trump	dick	2016-10-10T02:42:00Z	1
Donald Trump	dick	2016-10-10T02:43:00Z	1
Donald Trump	dick	2016-10-10T02:44:00Z	1
Donald Trump	dick	2016-10-10T02:45:00Z	0
Donald Trump	douche	2016-10-10T00:45:00Z	0
Donald Trump	douche	2016-10-10T00:46:00Z	0
Donald Trump	douche	2016-10-10T00:47:00Z	2
Donald Trump	douche	2016-10-10T00:48:00Z	0
Donald Trump	douche	2016-10-10T00:49:00Z	0
Donald Trump	douche	2016-10-10T00:50:00Z	1
Donald Trump	douche	2016-10-10T00:51:00Z	0
Donald Trump	douche	2016-10-10T00:52:00Z	0
Donald Trump	douche	2016-10-10T00:53:00Z	0
Donald Trump	douche	2016-10-10T00:54:00Z	3
Donald Trump	douche	2016-10-10T00:55:00Z	0
Donald Trump	douche	2016-10-10T00:56:00Z	0
Donald Trump	douche	2016-10-10T00:57:00Z	0
Donald Trump	douche	2016-10-10T00:58:00Z	0
Donald Trump	douche	2016-10-10T00:59:00Z	0
Donald Trump	douche	2016-10-10T01:00:00Z	0
Donald Trump	douche	2016-10-10T01:01:00Z	1
Donald Trump	douche	2016-10-10T01:02:00Z	1
Donald Trump	douche	2016-10-10T01:03:00Z	0
Donald Trump	douche	2016-10-10T01:04:00Z	3
Donald Trump	douche	2016-10-10T01:05:00Z	1
Donald Trump	douche	2016-10-10T01:06:00Z	0
Donald Trump	douche	2016-10-10T01:07:00Z	0
Donald Trump	douche	2016-10-10T01:08:00Z	0
Donald Trump	douche	2016-10-10T01:09:00Z	1
Donald Trump	douche	2016-10-10T01:10:00Z	1
Donald Trump	douche	2016-10-10T01:11:00Z	0
Donald Trump	douche	2016-10-10T01:12:00Z	0
Donald Trump	douche	2016-10-10T01:13:00Z	1
