time,word,subject,count
2020-09-30T00:55:00Z,fuck,trump,12
2020-09-30T00:55:00Z,fuck,biden,3
2020-09-30T00:55:00Z,shit,trump,16
2020-09-30T00:55:00Z,shit,biden,11
2020-09-30T00:55:00Z,bitch,trump,3
2020-09-30T00:55:00Z,bitch,biden,2
2020-09-30T00:55:00Z,ass,trump,11
2020-09-30T00:55:00Z,ass,biden,0
2020-09-30T00:55:00Z,dick,trump,1
2020-09-30T00:55:00Z,dick,biden,1
2020-09-30T00:56:00Z,fuck,trump,12
2020-09-30T00:56:00Z,fuck,biden,6
2020-09-30T00:56:00Z,shit,trump,17
2020-09-30T00:56:00Z,shit,biden,6
2020-09-30T00:56:00Z,bitch,trump,1
2020-09-30T00:56:00Z,bitch,biden,1
2020-09-30T00:56:00Z,ass,trump,13
2020-09-30T00:56:00Z,ass,biden,5
2020-09-30T00:56:00Z,dick,trump,4
2020-09-30T00:56:00Z,dick,biden,0
2020-09-30T00:57:00Z,fuck,trump,20
2020-09-30T00:57:00Z,fuck,biden,7
2020-09-30T00:57:00Z,shit,trump,22
2020-09-30T00:57:00Z,shit,biden,13
2020-09-30T00:57:00Z,bitch,trump,3
2020-09-30T00:57:00Z,bitch,biden,1
2020-09-30T00:57:00Z,ass,trump,15
2020-09-30T00:57:00Z,ass,biden,5
2020-09-30T00:57:00Z,dick,trump,2
2020-09-30T00:57:00Z,dick,biden,0
2020-09-30T00:58:00Z,fuck,trump,17
2020-09-30T00:58:00Z,fuck,biden,2
2020-09-30T00:58:00Z,shit,trump,19
2020-09-30T00:58:00Z,shit,biden,8
2020-09-30T00:58:00Z,bitch,trump,2
2020-09-30T00:58:00Z,bitch,biden,2
2020-09-30T00:58:00Z,ass,trump,22
2020-09-30T00:58:00Z,ass,biden,12
2020-09-30T00:58:00Z,dick,trump,1
2020-09-30T00:58:00Z,dick,biden,1
2020-09-30T00:59:00Z,fuck,trump,12
2020-09-30T00:59:00Z,fuck,biden,5
2020-09-30T00:59:00Z,shit,trump,14
2020-09-30T00:59:00Z,shit,biden,9
2020-09-30T00:59:00Z,bitch,trump,3
2020-09-30T00:59:00Z,bitch,biden,1
2020-09-30T00:59:00Z,ass,trump,14
2020-09-30T00:59:00Z,ass,biden,5
2020-09-30T00:59:00Z,dick,trump,3
2020-09-30T00:59:00Z,dick,biden,1
2020-09-30T01:00:00Z,fuck,trump,17
2020-09-30T01:00:00Z,fuck,biden,6
2020-09-30T01:00:00Z,shit,trump,17
2020-09-30T01:00:00Z,shit,biden,8
2020-09-30T01:00:00Z,bitch,trump,1
2020-09-30T01:00:00Z,bitch,biden,0
2020-09-30T01:00:00Z,ass,trump,17
2020-09-30T01:00:00Z,ass,biden,5
2020-09-30T01:00:00Z,dick,trump,0
2020-09-30T01:00:00Z,dick,biden,0
2020-09-30T01:01:00Z,fuck,trump,39
2020-09-30T01:01:00Z,fuck,biden,8
2020-09-30T01:01:00Z,shit,trump,11
2020-09-30T01:01:00Z,shit,biden,8
2020-09-30T01:01:00Z,bitch,trump,1
2020-09-30T01:01:00Z,bitch,biden,2
2020-09-30T01:01:00Z,ass,trump,7
2020-09-30T01:01:00Z,ass,biden,1
2020-09-30T01:01:00Z,dick,trump,1
2020-09-30T01:01:00Z,dick,biden,1
2020-09-30T01:02:00Z,fuck,trump,34
2020-09-30T01:02:00Z,fuck,biden,16
2020-09-30T01:02:00Z,shit,trump,15
2020-09-30T01:02:00Z,shit,biden,10
2020-09-30T01:02:00Z,bitch,trump,3
2020-09-30T01:02:00Z,bitch,biden,1
2020-09-30T01:02:00Z,ass,trump,13
2020-09-30T01:02:00Z,ass,biden,10
2020-09-30T01:02:00Z,dick,trump,1
2020-09-30T01:02:00Z,dick,biden,0
2020-09-30T01:03:00Z,fuck,trump,29
2020-09-30T01:03:00Z,fuck,biden,7
2020-09-30T01:03:00Z,shit,trump,18
2020-09-30T01:03:00Z,shit,biden,14
2020-09-30T01:03:00Z,bitch,trump,3
2020-09-30T01:03:00Z,bitch,biden,1
2020-09-30T01:03:00Z,ass,trump,20
2020-09-30T01:03:00Z,ass,biden,6
2020-09-30T01:03:00Z,dick,trump,1
2020-09-30T01:03:00Z,dick,biden,0
2020-09-30T01:04:00Z,fuck,trump,38
2020-09-30T01:04:00Z,fuck,biden,23
2020-09-30T01:04:00Z,shit,trump,14
2020-09-30T01:04:00Z,shit,biden,8
2020-09-30T01:04:00Z,bitch,trump,5
2020-09-30T01:04:00Z,bitch,biden,1
2020-09-30T01:04:00Z,ass,trump,13
2020-09-30T01:04:00Z,ass,biden,3
2020-09-30T01:04:00Z,dick,trump,1
2020-09-30T01:04:00Z,dick,biden,0
2020-09-30T01:05:00Z,fuck,trump,30
2020-09-30T01:05:00Z,fuck,biden,25
2020-09-30T01:05:00Z,shit,trump,12
2020-09-30T01:05:00Z,shit,biden,16
2020-09-30T01:05:00Z,bitch,trump,0
2020-09-30T01:05:00Z,bitch,biden,2
2020-09-30T01:05:00Z,ass,trump,10
2020-09-30T01:05:00Z,ass,biden,5
2020-09-30T01:05:00Z,dick,trump,0
2020-09-30T01:05:00Z,dick,biden,2
2020-09-30T01:06:00Z,fuck,trump,45
2020-09-30T01:06:00Z,fuck,biden,19
2020-09-30T01:06:00Z,shit,trump,24
2020-09-30T01:06:00Z,shit,biden,12
2020-09-30T01:06:00Z,bitch,trump,1
2020-09-30T01:06:00Z,bitch,biden,2
