time,word,subject,count
2020-10-23T01:00:00Z,fuck,biden,7
2020-10-23T01:00:00Z,fuck,trump,17
2020-10-23T01:00:00Z,shit,biden,10
2020-10-23T01:00:00Z,shit,trump,18
2020-10-23T01:00:00Z,bitch,biden,1
2020-10-23T01:00:00Z,bitch,trump,1
2020-10-23T01:00:00Z,ass,biden,4
2020-10-23T01:00:00Z,ass,trump,3
2020-10-23T01:00:00Z,dick,biden,3
2020-10-23T01:00:00Z,dick,trump,2
2020-10-23T01:01:00Z,fuck,biden,10
2020-10-23T01:01:00Z,fuck,trump,38
2020-10-23T01:01:00Z,shit,biden,7
2020-10-23T01:01:00Z,shit,trump,21
2020-10-23T01:01:00Z,bitch,biden,1
2020-10-23T01:01:00Z,bitch,trump,1
2020-10-23T01:01:00Z,ass,biden,2
2020-10-23T01:01:00Z,ass,trump,4
2020-10-23T01:01:00Z,dick,biden,2
2020-10-23T01:01:00Z,dick,trump,1
2020-10-23T01:02:00Z,fuck,biden,8
2020-10-23T01:02:00Z,fuck,trump,31
2020-10-23T01:02:00Z,shit,biden,10
2020-10-23T01:02:00Z,shit,trump,19
2020-10-23T01:02:00Z,bitch,biden,1
2020-10-23T01:02:00Z,bitch,trump,3
2020-10-23T01:02:00Z,ass,biden,6
2020-10-23T01:02:00Z,ass,trump,7
2020-10-23T01:02:00Z,dick,biden,2
2020-10-23T01:02:00Z,dick,trump,2
2020-10-23T01:03:00Z,fuck,biden,7
2020-10-23T01:03:00Z,fuck,trump,29
2020-10-23T01:03:00Z,shit,biden,10
2020-10-23T01:03:00Z,shit,trump,16
2020-10-23T01:03:00Z,bitch,biden,0
2020-10-23T01:03:00Z,bitch,trump,0
2020-10-23T01:03:00Z,ass,biden,12
2020-10-23T01:03:00Z,ass,trump,12
2020-10-23T01:03:00Z,dick,biden,2
2020-10-23T01:03:00Z,dick,trump,1
2020-10-23T01:04:00Z,fuck,biden,11
2020-10-23T01:04:00Z,fuck,trump,30
2020-10-23T01:04:00Z,shit,biden,13
2020-10-23T01:04:00Z,shit,trump,30
2020-10-23T01:04:00Z,bitch,biden,0
2020-10-23T01:04:00Z,bitch,trump,1
2020-10-23T01:04:00Z,ass,biden,4
2020-10-23T01:04:00Z,ass,trump,7
2020-10-23T01:04:00Z,dick,biden,0
2020-10-23T01:04:00Z,dick,trump,1
2020-10-23T01:05:00Z,fuck,biden,6
2020-10-23T01:05:00Z,fuck,trump,31
2020-10-23T01:05:00Z,shit,biden,7
2020-10-23T01:05:00Z,shit,trump,23
2020-10-23T01:05:00Z,bitch,biden,0
2020-10-23T01:05:00Z,bitch,trump,0
2020-10-23T01:05:00Z,ass,biden,8
2020-10-23T01:05:00Z,ass,trump,30
2020-10-23T01:05:00Z,dick,biden,1
2020-10-23T01:05:00Z,dick,trump,2
2020-10-23T01:06:00Z,fuck,biden,9
2020-10-23T01:06:00Z,fuck,trump,39
2020-10-23T01:06:00Z,shit,biden,6
2020-10-23T01:06:00Z,shit,trump,19
2020-10-23T01:06:00Z,bitch,biden,1
2020-10-23T01:06:00Z,bitch,trump,4
2020-10-23T01:06:00Z,ass,biden,6
2020-10-23T01:06:00Z,ass,trump,52
2020-10-23T01:06:00Z,dick,biden,1
2020-10-23T01:06:00Z,dick,trump,2
2020-10-23T01:07:00Z,fuck,biden,6
2020-10-23T01:07:00Z,fuck,trump,34
2020-10-23T01:07:00Z,shit,biden,5
2020-10-23T01:07:00Z,shit,trump,45
2020-10-23T01:07:00Z,bitch,biden,0
2020-10-23T01:07:00Z,bitch,trump,1
2020-10-23T01:07:00Z,ass,biden,2
2020-10-23T01:07:00Z,ass,trump,20
2020-10-23T01:07:00Z,dick,biden,1
2020-10-23T01:07:00Z,dick,trump,2
2020-10-23T01:08:00Z,fuck,biden,11
2020-10-23T01:08:00Z,fuck,trump,38
2020-10-23T01:08:00Z,shit,biden,8
2020-10-23T01:08:00Z,shit,trump,55
2020-10-23T01:08:00Z,bitch,biden,2
2020-10-23T01:08:00Z,bitch,trump,0
2020-10-23T01:08:00Z,ass,biden,7
2020-10-23T01:08:00Z,ass,trump,23
2020-10-23T01:08:00Z,dick,biden,0
2020-10-23T01:08:00Z,dick,trump,0
2020-10-23T01:09:00Z,fuck,biden,19
2020-10-23T01:09:00Z,fuck,trump,30
2020-10-23T01:09:00Z,shit,biden,10
2020-10-23T01:09:00Z,shit,trump,29
2020-10-23T01:09:00Z,bitch,biden,1
2020-10-23T01:09:00Z,bitch,trump,2
2020-10-23T01:09:00Z,ass,biden,4
2020-10-23T01:09:00Z,ass,trump,13
2020-10-23T01:09:00Z,dick,biden,1
2020-10-23T01:09:00Z,dick,trump,5
2020-10-23T01:10:00Z,fuck,biden,26
2020-10-23T01:10:00Z,fuck,trump,24
2020-10-23T01:10:00Z,shit,biden,23
2020-10-23T01:10:00Z,shit,trump,33
2020-10-23T01:10:00Z,bitch,biden,0
2020-10-23T01:10:00Z,bitch,trump,0
2020-10-23T01:10:00Z,ass,biden,9
2020-10-23T01:10:00Z,ass,trump,20
2020-10-23T01:10:00Z,dick,biden,1
2020-10-23T01:10:00Z,dick,trump,2
2020-10-23T01:11:00Z,fuck,biden,15
2020-10-23T01:11:00Z,fuck,trump,20
2020-10-23T01:11:00Z,shit,biden,14
2020-10-23T01:11:00Z,shit,trump,34
2020-10-23T01:11:00Z,bitch,biden,0
2020-10-23T01:11:00Z,bitch,trump,1
2020-10-23T01:11:00Z,ass,biden,7
2020-10-23T01:11:00Z,ass,trump,14
2020-10-23T01:11:00Z,dick,biden,1
2020-10-23T01:11:00Z,dick,trump,1
2020-10-23T01:12:00Z,fuck,biden,17
2020-10-23T01:12:00Z,fuck,trump,24
2020-10-23T01:12:00Z,shit,biden,18
2020-10-23T01:12:00Z,shit,trump,24
2020-10-23T01:12:00Z,bitch,biden,0
2020-10-23T01:12:00Z,bitch,trump,2
2020-10-23T01:12:00Z,ass,biden,6
2020-10-23T01:12:00Z,ass,trump,9
2020-10-23T01:12:00Z,dick,biden,2
2020-10-23T01:12:00Z,dick,trump,3
2020-10-23T01:13:00Z,fuck,biden,25
2020-10-23T01:13:00Z,fuck,trump,18
2020-10-23T01:13:00Z,shit,biden,13
2020-10-23T01:13:00Z,shit,trump,27
2020-10-23T01:13:00Z,bitch,biden,3
2020-10-23T01:13:00Z,bitch,trump,3
2020-10-23T01:13:00Z,ass,biden,4
2020-10-23T01:13:00Z,ass,trump,8
2020-10-23T01:13:00Z,dick,biden,0
2020-10-23T01:13:00Z,dick,trump,1
2020-10-23T01:14:00Z,fuck,biden,22
2020-10-23T01:14:00Z,fuck,trump,29
2020-10-23T01:14:00Z,shit,biden,15
2020-10-23T01:14:00Z,shit,trump,23
2020-10-23T01:14:00Z,bitch,biden,1
2020-10-23T01:14:00Z,bitch,trump,3
2020-10-23T01:14:00Z,ass,biden,7
2020-10-23T01:14:00Z,ass,trump,5
2020-10-23T01:14:00Z,dick,biden,0
2020-10-23T01:14:00Z,dick,trump,1
2020-10-23T01:15:00Z,fuck,biden,14
2020-10-23T01:15:00Z,fuck,trump,28
2020-10-23T01:15:00Z,shit,biden,16
2020-10-23T01:15:00Z,shit,trump,35
2020-10-23T01:15:00Z,bitch,biden,5
2020-10-23T01:15:00Z,bitch,trump,5
2020-10-23T01:15:00Z,ass,biden,7
2020-10-23T01:15:00Z,ass,trump,4
2020-10-23T01:15:00Z,dick,biden,0
2020-10-23T01:15:00Z,dick,trump,2
2020-10-23T01:16:00Z,fuck,biden,17
2020-10-23T01:16:00Z,fuck,trump,28
2020-10-23T01:16:00Z,shit,biden,14
2020-10-23T01:16:00Z,shit,trump,29
2020-10-23T01:16:00Z,bitch,biden,4
2020-10-23T01:16:00Z,bitch,trump,4
2020-10-23T01:16:00Z,ass,biden,18
2020-10-23T01:16:00Z,ass,trump,14
2020-10-23T01:16:00Z,dick,biden,1
2020-10-23T01:16:00Z,dick,trump,0
2020-10-23T01:17:00Z,fuck,biden,15
2020-10-23T01:17:00Z,fuck,trump,19
2020-10-23T01:17:00Z,shit,biden,12
2020-10-23T01:17:00Z,shit,trump,21
2020-10-23T01:17:00Z,bitch,biden,6
2020-10-23T01:17:00Z,bitch,trump,2
2020-10-23T01:17:00Z,ass,biden,3
2020-10-23T01:17:00Z,ass,trump,11
2020-10-23T01:17:00Z,dick,biden,1
2020-10-23T01:17:00Z,dick,trump,0
2020-10-23T01:18:00Z,fuck,biden,16
2020-10-23T01:18:00Z,fuck,trump,23
2020-10-23T01:18:00Z,shit,biden,16
2020-10-23T01:18:00Z,shit,trump,32
2020-10-23T01:18:00Z,bitch,biden,9
2020-10-23T01:18:00Z,bitch,trump,4
2020-10-23T01:18:00Z,ass,biden,6
2020-10-23T01:18:00Z,ass,trump,13
2020-10-23T01:18:00Z,dick,biden,0
2020-10-23T01:18:00Z,dick,trump,0
2020-10-23T01:19:00Z,fuck,biden,12
2020-10-23T01:19:00Z,fuck,trump,24
2020-10-23T01:19:00Z,shit,biden,15
2020-10-23T01:19:00Z,shit,trump,29
2020-10-23T01:19:00Z,bitch,biden,12
2020-10-23T01:19:00Z,bitch,trump,0
2020-10-23T01:19:00Z,ass,biden,9
2020-10-23T01:19:00Z,ass,trump,13
2020-10-23T01:19:00Z,dick,biden,0
2020-10-23T01:19:00Z,dick,trump,2
2020-10-23T01:20:00Z,fuck,biden,5
2020-10-23T01:20:00Z,fuck,trump,26
2020-10-23T01:20:00Z,shit,biden,12
2020-10-23T01:20:00Z,shit,trump,25
2020-10-23T01:20:00Z,bitch,biden,11
2020-10-23T01:20:00Z,bitch,trump,4
2020-10-23T01:20:00Z,ass,biden,8
2020-10-23T01:20:00Z,ass,trump,15
2020-10-23T01:20:00Z,dick,biden,0
2020-10-23T01:20:00Z,dick,trump,2
2020-10-23T01:21:00Z,fuck,biden,12
2020-10-23T01:21:00Z,fuck,trump,37
2020-10-23T01:21:00Z,shit,biden,14
2020-10-23T01:21:00Z,shit,trump,17
2020-10-23T01:21:00Z,bitch,biden,6
2020-10-23T01:21:00Z,bitch,trump,2
2020-10-23T01:21:00Z,ass,biden,7
2020-10-23T01:21:00Z,ass,trump,12
2020-10-23T01:21:00Z,dick,biden,0
2020-10-23T01:21:00Z,dick,trump,1
