time,word,subject,count
2019-05-20T00:55:00Z,fuck,jon snow,1
2019-05-20T00:55:00Z,fuck,daenerys,6
2019-05-20T00:55:00Z,fuck,cersei,5
2019-05-20T00:55:00Z,fuck,tyrion,4
2019-05-20T00:55:00Z,fuck,arya,5
2019-05-20T00:55:00Z,fuck,sansa,2
2019-05-20T00:55:00Z,fuck,jaime,1
2019-05-20T00:55:00Z,shit,jon snow,3
2019-05-20T00:55:00Z,shit,daenerys,2
2019-05-20T00:55:00Z,shit,cersei,1
2019-05-20T00:55:00Z,shit,tyrion,3
2019-05-20T00:55:00Z,shit,arya,1
2019-05-20T00:55:00Z,shit,sansa,2
2019-05-20T00:55:00Z,shit,jaime,0
2019-05-20T00:55:00Z,bitch,jon snow,1
2019-05-20T00:55:00Z,bitch,daenerys,7
2019-05-20T00:55:00Z,bitch,cersei,0
2019-05-20T00:55:00Z,bitch,tyrion,0
2019-05-20T00:55:00Z,bitch,arya,2
2019-05-20T00:55:00Z,bitch,sansa,1
2019-05-20T00:55:00Z,bitch,jaime,0
2019-05-20T00:55:00Z,ass,jon snow,2
2019-05-20T00:55:00Z,ass,daenerys,2
2019-05-20T00:55:00Z,ass,cersei,0
2019-05-20T00:55:00Z,ass,tyrion,1
2019-05-20T00:55:00Z,ass,arya,2
2019-05-20T00:55:00Z,ass,sansa,0
2019-05-20T00:55:00Z,ass,jaime,0
2019-05-20T00:55:00Z,dick,jon snow,0
2019-05-20T00:55:00Z,dick,daenerys,0
2019-05-20T00:55:00Z,dick,cersei,0
2019-05-20T00:55:00Z,dick,tyrion,0
2019-05-20T00:55:00Z,dick,arya,0
2019-05-20T00:55:00Z,dick,sansa,0
2019-05-20T00:55:00Z,dick,jaime,0
2019-05-20T00:56:00Z,fuck,jon snow,5
2019-05-20T00:56:00Z,fuck,daenerys,7
2019-05-20T00:56:00Z,fuck,cersei,1
2019-05-20T00:56:00Z,fuck,tyrion,7
2019-05-20T00:56:00Z,fuck,arya,1
2019-05-20T00:56:00Z,fuck,sansa,3
2019-05-20T00:56:00Z,fuck,jaime,2
2019-05-20T00:56:00Z,shit,jon snow,1
2019-05-20T00:56:00Z,shit,daenerys,1
2019-05-20T00:56:00Z,shit,cersei,0
2019-05-20T00:56:00Z,shit,tyrion,2
2019-05-20T00:56:00Z,shit,arya,1
2019-05-20T00:56:00Z,shit,sansa,2
2019-05-20T00:56:00Z,shit,jaime,0
2019-05-20T00:56:00Z,bitch,jon snow,2
2019-05-20T00:56:00Z,bitch,daenerys,12
2019-05-20T00:56:00Z,bitch,cersei,0
2019-05-20T00:56:00Z,bitch,tyrion,1
2019-05-20T00:56:00Z,bitch,arya,3
2019-05-20T00:56:00Z,bitch,sansa,0
2019-05-20T00:56:00Z,bitch,jaime,0
2019-05-20T00:56:00Z,ass,jon snow,0
2019-05-20T00:56:00Z,ass,daenerys,1
2019-05-20T00:56:00Z,ass,cersei,0
2019-05-20T00:56:00Z,ass,tyrion,0
2019-05-20T00:56:00Z,ass,arya,0
2019-05-20T00:56:00Z,ass,sansa,2
2019-05-20T00:56:00Z,ass,jaime,0
2019-05-20T00:56:00Z,dick,jon snow,0
2019-05-20T00:56:00Z,dick,daenerys,0
2019-05-20T00:56:00Z,dick,cersei,0
2019-05-20T00:56:00Z,dick,tyrion,0
2019-05-20T00:56:00Z,dick,arya,0
2019-05-20T00:56:00Z,dick,sansa,1
2019-05-20T00:56:00Z,dick,jaime,0
2019-05-20T00:57:00Z,fuck,jon snow,4
2019-05-20T00:57:00Z,fuck,daenerys,3
2019-05-20T00:57:00Z,fuck,cersei,2
2019-05-20T00:57:00Z,fuck,tyrion,1
2019-05-20T00:57:00Z,fuck,arya,5
2019-05-20T00:57:00Z,fuck,sansa,5
2019-05-20T00:57:00Z,fuck,jaime,4
2019-05-20T00:57:00Z,shit,jon snow,3
2019-05-20T00:57:00Z,shit,daenerys,1
2019-05-20T00:57:00Z,shit,cersei,1
2019-05-20T00:57:00Z,shit,tyrion,2
2019-05-20T00:57:00Z,shit,arya,2
2019-05-20T00:57:00Z,shit,sansa,4
2019-05-20T00:57:00Z,shit,jaime,0
2019-05-20T00:57:00Z,bitch,jon snow,0
2019-05-20T00:57:00Z,bitch,daenerys,8
2019-05-20T00:57:00Z,bitch,cersei,2
2019-05-20T00:57:00Z,bitch,tyrion,0
2019-05-20T00:57:00Z,bitch,arya,2
2019-05-20T00:57:00Z,bitch,sansa,2
2019-05-20T00:57:00Z,bitch,jaime,0
2019-05-20T00:57:00Z,ass,jon snow,0
2019-05-20T00:57:00Z,ass,daenerys,0
2019-05-20T00:57:00Z,ass,cersei,0
2019-05-20T00:57:00Z,ass,tyrion,0
